score
76.0
64.0
69.0
35.0
93.0
38.0
99.0
16.0
67.0
79.0
55.0
64.0
78.0
9.0
59.0
85.0
70.0
59.0
88.0
28.0
82.0
78.0
6.0
71.0
86.0
81.0
96.0
63.0
79.0
60.0
63.0
88.0
70.0
1.0
88.0
69.0
64.0
57.0
66.0
16.0
87.0
61.0
72.0
94.0
33.0
63.0
78.0
94.0
46.0
50.0
82.0
11.0
30.0
78.0
50.0
49.0
100.0
28.0
55.0
96.0
82.0
79.0
90.0
26.0
64.0
90.0
48.0
1.0
92.0
57.0
90.0
73.0
26.0
66.0
68.0
100.0
84.0
66.0
82.0
100.0
84.0
1.0
80.0
99.0
5.0
88.0
93.0
68.0
60.0
56.0
55.0
100.0
46.0
35.0
90.0
100.0
59.0
13.0
60.0
7.0
91.0
79.0
67.0
44.0
3.0
86.0
91.0
76.0
61.0
13.0
54.0
83.0
29.0
100.0
73.0
29.0
65.0
21.0
16.0
49.0
100.0
58.0
85.0
52.0
19.0
76.0
41.0
56.0
51.0
100.0
100.0
49.0
31.0
66.0
59.0
98.0
8.0
92.0
46.0
79.0
13.0
23.0
60.0
91.0
97.0
10.0
55.0
88.0
14.0
77.0
94.0
69.0
100.0
100.0
79.0
79.0
78.0
24.0
70.0
100.0
80.0
100.0
73.0
91.0
99.0
78.0
86.0
38.0
98.0
56.0
9.0
67.0
29.0
61.0
65.0
49.0
92.0
100.0
81.0
70.0
88.0
98.0
20.0
90.0
91.0
2.0
98.0
49.0
92.0
84.0
23.0
1.0
18.0
48.0
68.0
4.0
100.0
73.0
55.0
87.0
85.0
38.0
1.0
45.0
19.0
95.0
59.0
87.0
59.0
51.0
87.0
78.0
44.0
81.0
100.0
70.0
97.0
44.0
76.0
71.0
50.0
1.0
80.0
68.0
61.0
38.0
2.0
96.0
100.0
57.0
71.0
2.0
79.0
96.0
1.0
4.0
16.0
44.0
44.0
69.0
58.0
20.0
12.0
5.0
100.0
6.0
79.0
59.0
100.0
15.0
1.0
67.0
84.0
65.0
16.0
14.0
99.0
42.0
5.0
65.0
46.0
96.0
1.0
9.0
98.0
33.0
49.0
42.0
81.0
96.0
42.0
28.0
75.0
100.0
72.0
90.0
69.0
66.0
90.0
95.0
100.0
28.0
1.0
38.0
79.0
44.0
67.0
56.0
100.0
47.0
93.0
62.0
92.0
100.0
89.0
72.0
61.0
85.0
39.0
76.0
45.0
97.0
16.0
52.0
93.0
24.0
11.0
29.0
64.0
23.0
98.0
30.0
100.0
47.0
68.0
66.0
97.0
97.0
52.0
65.0
23.0
99.0
6.0
100.0
31.0
77.0
93.0
93.0
39.0
85.0
100.0
50.0
5.0
18.0
82.0
90.0
7.0
39.0
100.0
100.0
78.0
49.0
26.0
49.0
50.0
6.0
66.0
58.0
1.0
99.0
99.0
99.0
57.0
100.0
79.0
95.0
87.0
63.0
76.0
49.0
31.0
23.0
1.0
79.0
35.0
80.0
53.0
32.0
85.0
64.0
100.0
41.0
45.0
71.0
15.0
47.0
69.0
38.0
48.0
94.0
54.0
78.0
79.0
63.0
100.0
34.0
6.0
76.0
31.0
8.0
87.0
5.0
76.0
71.0
88.0
85.0
35.0
25.0
37.0
47.0
82.0
88.0
89.0
66.0
94.0
81.0
98.0
19.0
60.0
96.0
56.0
29.0
64.0
81.0
28.0
98.0
91.0
66.0
97.0
66.0
62.0
68.0
41.0
85.0
68.0
72.0
81.0
73.0
36.0
88.0
17.0
88.0
88.0
100.0
55.0
45.0
50.0
96.0
93.0
36.0
12.0
79.0
98.0
78.0
68.0
2.0
40.0
92.0
50.0
43.0
34.0
74.0
69.0
53.0
53.0
76.0
6.0
4.0
60.0
24.0
61.0
75.0
74.0
1.0
18.0
28.0
70.0
50.0
30.0
100.0
93.0
100.0
81.0
100.0
17.0
58.0
85.0
66.0
49.0
20.0
94.0
84.0
85.0
100.0
6.0
45.0
93.0
99.0
65.0
100.0
100.0
69.0
86.0
50.0
75.0
78.0
55.0
94.0
47.0
38.0
89.0
83.0
64.0
65.0
13.0
57.0
69.0
21.0
12.0
43.0
37.0
92.0
80.0
68.0
17.0
100.0
35.0
45.0
75.0
100.0
85.0
54.0
45.0
91.0
97.0
79.0
1.0
8.0
72.0
39.0
56.0
12.0
27.0
59.0
34.0
77.0
98.0
99.0
38.0
10.0
48.0
90.0
64.0
5.0
1.0
14.0
100.0
59.0
83.0
71.0
100.0
65.0
61.0
39.0
100.0
90.0
100.0
13.0
4.0
62.0
35.0
64.0
81.0
97.0
97.0
84.0
67.0
85.0
71.0
70.0
86.0
61.0
89.0
57.0
59.0
42.0
58.0
49.0
16.0
43.0
96.0
41.0
37.0
95.0
86.0
79.0
80.0
19.0
84.0
74.0
52.0
98.0
94.0
44.0
29.0
87.0
77.0
73.0
59.0
20.0
29.0
6.0
4.0
97.0
73.0
12.0
40.0
95.0
66.0
58.0
98.0
49.0
90.0
81.0
76.0
59.0
63.0
41.0
13.0
90.0
26.0
67.0
26.0
22.0
100.0
74.0
49.0
99.0
91.0
99.0
62.0
73.0
92.0
35.0
32.0
72.0
99.0
98.0
82.0
100.0
43.0
78.0
28.0
64.0
65.0
65.0
55.0
37.0
57.0
78.0
75.0
92.0
53.0
88.0
82.0
73.0
69.0
65.0
29.0
76.0
70.0
78.0
39.0
85.0
92.0
22.0
81.0
1.0
72.0
